Reporting period,Implementing Agency,Lead Organization,Org Type,District,Sub Dstrict,Village,Admin Level 5,Sector/Cluster,Sub Sector,Status,Activity Details,Start Date,End Date,Total Beneficiaries Reached (HOUSEHOLD),Total Beneficiaries Planned (HOUSEHOLD),Primary Beneficiary Type,# of Primary Beneficiaries,Activity Description,Material Provided
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Binangga,Binangga,Health,Health,Completed,Medical servicee,43385,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Binangga,Binangga,Health,Health,Completed,Medical servicee,43388,43388,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Binangga,Binangga,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Beka,Beka,Health,Health,Completed,Medical servicee,43389,43389,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Binangga,Binangga,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Beka,Dusun 3 Beka,Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Binangga,Binangga,Health,Health,Completed,Medical servicee,43392,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Padende,Padende,Health,Health,Completed,Medical servicee,43392,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Marawola,Pos Pelayanan Marawola,Health,Health,Completed,Medical servicee,43382,,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,"Puskesmas Marawola,Kelurahan Binangga kec. Marawola, Kab. Sigi","Puskesmas Marawola,Kelurahan Binangga kec. Marawola, Kab. Sigi",Health,Health,Completed,Medical servicee,43393,43393,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,"Mobile clinik desa Boya Baliase, Kec. Marawola, Sigi","Mobile clinik desa Boya Baliase, Kec. Marawola, Sigi",Health,Health,Completed,Medical servicee,43393,43393,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Marawola,"Puskesmas Marawola,Kelurahan Binangga kec. Marawola, Kab. Sigi",Health,Health,Completed,Medical servicee,43394,43394,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,AHS UGM,,Academia,Sigi,Marawola,Tinggede,"Puskesmas Tinggede, Kel. Tinggede, Kec. Marawola, Sigi",Health,Health,Completed,Medical servicee,43390,43390,,,IDP and Affected Population,,,
07 Nov -13 Nov 2018,BASARNAS,,Government,Sigi,Dolo Barat,Kaleke,"Pkm Kaleke, Dolo Barat",Health,Health,Completed,Medical servicee,43385,,,,IDP and Affected Population,,,
