COUNTRY_OF_ASYLUM,RETURN_DATE,ORIG_PROV_NAME,ORIG_DIST_NAME,DESTINATION_PROV_NAME,DESTINATION_DIST_NAME,INDIVIDUALS,MALE,FEMALE,
#country,#date+occurred,#admin1+name+x_origin,#admin2+name+x_origin,#admin1+name+x_destination,#admin2+name+x_destination,#affected+displaced+all,#affected+displaced+m,#affected+displaced+f,
Iran,01-Jan-18,Herat,Herat,Herat,Herat,1,1,0,
Iran,01-Jan-18,Logar,Pul-e- Alam,Herat,Herat,1,1,0,
Iran,01-Jan-18,Wardak,Markaz-e-Behsud,Herat,Herat,1,0,1,
Iran,03-Jan-18,Bamyan,Yakawlang,Kabul,Kabul,1,0,1,
Iran,03-Jan-18,Farah,Farah,Farah,Farah,1,1,0,
Iran,03-Jan-18,Ghor,Lal Wa Sarjangal,Herat,Herat,2,0,2,
Iran,03-Jan-18,Herat,Herat,Herat,Herat,2,1,1,
Iran,04-Jan-18,Daykundi,Ashtarlay,Kabul,Kabul,1,1,0,
Iran,04-Jan-18,Herat,Herat,Herat,Herat,1,1,0,
Iran,05-Jan-18,Bamyan,Bamyan,Herat,Herat,1,0,1,
Iran,05-Jan-18,Bamyan,Panjab,Herat,Herat,1,0,1,
Iran,05-Jan-18,Ghazni,Malestan,Kabul,Kabul,1,0,1,
Iran,07-Jan-18,Daykundi,Nili,Kabul,Kabul,1,0,1,
Iran,07-Jan-18,Ghazni,Nawur,Kabul,Kabul,1,1,0,
Iran,08-Jan-18,Bamyan,Waras,Kabul,Kabul,2,0,2,
Iran,08-Jan-18,Farah,Farah,Herat,Herat,1,1,0,
Other,08-Jan-18,Balkh,Mazar-e-Sharif,Balkh,Mazar-e-Sharif,7,3,4,
Iran,09-Jan-18,Kabul,Kabul,Kabul,Kabul,1,1,0,
Iran,10-Jan-18,Ghazni,Jaghuri,Kabul,Kabul,1,1,0,
Iran,14-Jan-18,Balkh,Mazar-e-Sharif,Balkh,Mazar-e-Sharif,1,0,1,
Iran,14-Jan-18,Bamyan,Yakawlang,Bamyan,Yakawlang,1,1,0,
Iran,15-Jan-18,Kunduz,Kunduz,Kunduz,Kunduz,1,0,1,
Iran,16-Jan-18,Badakhshan,Fayzabad,Herat,Herat,2,0,2,
Iran,16-Jan-18,Herat,Herat,Herat,Herat,1,1,0,
Iran,16-Jan-18,Kunduz,Kunduz,Herat,Herat,2,2,0,
Pakistan,16-Jan-18,Nangarhar,Hesarak,Nangarhar,Surkhrod,6,3,3,
