REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Families_displaced,Individuals_displaced,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#affected+displaced+families,#affected+dispalced+num,#damaged+houses+num,#destroyed+houses+num
South Eastern,25,Paktika,2505,Zarghunshahr,02/01/18,Flood / flash flood,0,0,160,1120,0,0,160,0
South Eastern,25,Paktika,2512,Janikhel,03/01/18,Flood / flash flood,0,0,140,980,0,0,140,0
North Eastern,15,Badakhshan,1506,Raghestan,28/01/18,Avalanche,1,2,0,3,,,0,0
North Eastern,15,Badakhshan,1505,Kohestan,28/01/18,Landslide / mudflow,4,4,0,8,,,0,0
Western,21,Ghor,2101,Chaghcharan,30/01/18,Drought,0,0,35,245,35,245,0,0
Eastern,13,Kunar,1311,Barkunar,31/01/18,Earthquake,0,0,6,42,,,6,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,31/01/18,Earthquake,0,0,4,28,,,4,0
Eastern,13,Kunar,1310,Dangam,31/01/18,Earthquake,0,0,5,35,,,5,0
Eastern,13,Kunar,1309,Khaskunar,31/01/18,Earthquake,0,0,2,7,,,2,0
South Eastern,12,Paktya,1201,Gardez,12/02/18,Flood / flash flood,0,0,60,420,0,0,60,0
South Eastern,12,Paktya,1208,Alikhel (Jaji),12/02/18,Flood / flash flood,0,0,40,280,0,0,40,0
Eastern,13,Kunar,1314,Nurgal,12/02/18,Flood / flash flood,0,0,3,31,,,3,0
South Eastern,12,Paktya,1206,Zadran,13/02/18,Flood / flash flood,0,0,30,210,0,0,30,0
South Eastern,12,Paktya,1202,Sayedkaram,13/02/18,Flood / flash flood,0,0,25,175,0,0,25,0
Capital,3,Parwan,303,Shinwari,14/02/18,Heavy snowfall,0,0,10,70,0,0,8,2
North Eastern,16,Takhar,1612,Khwajabahawuddin,15/02/18,Flood / flash flood,0,0,26,182,,,26,0
Northern,18,Balkh,1802,Nahr-e-Shahi,19/02/18,Flood / flash flood,0,0,19,133,0,0,19,0
Western,21,Ghor,2101,Chaghcharan,25/02/18,Drought,0,0,23,161,23,161,0,0
Western,30,Hirat,3007,Karukh,26/02/18,Flood / flash flood,0,0,26,168,0,0,0,26
Western,30,Hirat,3006,Pashtunzarghun,26/02/18,Flood / flash flood,0,0,0,0,0,0,0,0
Western,29,Badghis,2904,Qadis,26/02/18,Flood / flash flood,6,0,0,6,6,0,0,0
Southern,33,Kandahar,3301,Kandahar,26/02/18,Flood / flash flood,0,0,101,807,,,0,0
Western,31,Farah,3101,Farah,01/03/18,Flood / flash flood,0,0,122,1050,0,0,0,31
Western,31,Farah,3101,Farah,01/03/18,Flood / flash flood,0,0,8,56,0,0,8,56
Western,21,Ghor,2101,Chaghcharan,01/03/18,Drought,0,0,35,245,35,245,0,0
Eastern,13,Kunar,1314,Nurgal,03/03/18,Flood / flash flood,0,0,2,14,,,0,2
Western,21,Ghor,2108,Lal Wa Sarjangal,05/03/18,Flood / flash flood,0,0,2,14,0,0,0,2
