admin,mau_audience_oct1,dau_audience_oct1,poblacion,indicador_presion_oct1
#country+name,#inneed+migrants+monthly,#inneed+migrants+daily,#population+total,#indicator
Argentina,120000,63883,44521895,269.5303064
Bolivia,7000,4242,11235388,62.30314432
Brasil,68000,36730,212813555,31.95285188
Chile,260000,164950,18349484,1416.933577
Colombia,1300000,724099,49454150,2628.697491
Costa Rica,16000,9510,4963972,322.3225272
Ecuador,200000,123233,16863410,1185.999747
El Salvador,3200,1218,6375467,50.19240159
Guayana Francesa,0,0,304000,0
Granada,1000,997,109000,917.4311927
Guatemala,6400,2715,16838489,38.00816095
Guyana,4600,2606,791000,581.5423515
Haití,1000,666,11166591,8.955284563
Honduras,1800,514,9194300,19.57734683
Jamaica,0,0,2913000,0
México,99000,55010,129498846,76.4485577
Nicaragua,2200,439,6283437,35.01268494
Paraguay,4400,2566,6887093,63.88762283
Panamá,80000,45882,4116176,1943.551491
Perú,490000,283905,32554092,1505.187121
Puerto Rico,3700,1958,3651000,101.3420981
República Dominicana,51000,28727,10889558,468.338568
Surinam,1200,856,578000,207.6124567
Uruguay,9700,5873,3468879,279.6292405
