adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-01-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,60.73,15.0,1.0,1565_162_15_5,5.0,KG,1358208000.0,2013.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-02-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,60.0,15.0,1.0,1565_162_15_5,5.0,KG,1360886400.0,2013.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-03-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,60.12,15.0,1.0,1565_162_15_5,5.0,KG,1363305600.0,2013.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-04-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,60.23,15.0,1.0,1565_162_15_5,5.0,KG,1365984000.0,2013.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-05-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,60.5,15.0,1.0,1565_162_15_5,5.0,KG,1368576000.0,2013.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-06-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,60.04,15.0,1.0,1565_162_15_5,5.0,KG,1371254400.0,2013.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-07-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,60.24,15.0,1.0,1565_162_15_5,5.0,KG,1373846400.0,2013.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-08-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,60.1,15.0,1.0,1565_162_15_5,5.0,KG,1376524800.0,2013.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-09-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,59.97,15.0,1.0,1565_162_15_5,5.0,KG,1379203200.0,2013.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-10-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,59.07,15.0,1.0,1565_162_15_5,5.0,KG,1381795200.0,2013.0
0.0,,cereals and tubers,1,162,Rice (long grain) - Retail,Rice long grain,Sri Lanka,LKR,2013-11-15,,0.0,Rice (long grain) - Retail (KG),1565.0,National Average,60.19,15.0,1.0,1565_162_15_5,5.0,KG,1384473600.0,2013.0
